./data/maxFitness/20191024-5-VQD5-1.txt
[ 1,0.2906451166394698]
[ 2,0.2937917362510144]
[ 3,0.2944517765894276]
[ 4,0.2970360284099334]
[ 5,0.2970360284099334]
[ 6,0.2973127664909221]
[ 7,0.29869943829556483]
[ 8,0.30508437376244074]
[ 9,0.30508437376244074]
[ 10,0.30553644035583755]
[ 11,0.30991867181563965]
[ 12,0.30991867181563965]
[ 13,0.3114599680644273]
[ 14,0.31221605875547426]
[ 15,0.3132835943999212]
[ 16,0.3132835943999212]
[ 17,0.31846663113472773]
[ 18,0.31846663113472773]
[ 19,0.31851076357566]
[ 20,0.31966493702678234]
[ 21,0.3219937322224224]
[ 22,0.3219937322224224]
[ 23,0.3219937322224224]
[ 24,0.3226093399539498]
[ 25,0.3236042820305244]
[ 26,0.32396775781970616]
[ 27,0.3248134907221436]
[ 28,0.3248134907221436]
[ 29,0.32488715133599055]
[ 30,0.32587502735526475]
[ 31,0.3258903173725061]
[ 32,0.3267042708066292]
[ 33,0.3269474514779125]
[ 34,0.3270505281071895]
[ 35,0.3270505281071895]
[ 36,0.3270506765498883]
[ 37,0.3270506765498883]
[ 38,0.32851701515625786]
[ 39,0.3285170784520233]
[ 40,0.3289688193387082]
[ 41,0.3289688193387082]
[ 42,0.3289688193387082]
[ 43,0.3296397566941937]
[ 44,0.3305595350181181]
[ 45,0.33056113392718267]
[ 46,0.33056113392718267]
[ 47,0.3318216664647569]
[ 48,0.3318216664647569]
[ 49,0.3319352982950844]
[ 50,0.33197838230852617]
[ 51,0.33322514523269664]
[ 52,0.3340534429126406]
[ 53,0.3340534429126406]
[ 54,0.3349919404921206]
[ 55,0.3350962326199788]
[ 56,0.3350962326199788]
[ 57,0.3350962326199788]
[ 58,0.33641509389316143]
[ 59,0.3364162130988416]
[ 60,0.33641919620905775]
[ 61,0.33641919620905775]
[ 62,0.33641919620905775]
[ 63,0.3364196724222703]
[ 64,0.3364196724222703]
[ 65,0.3376309133723963]
[ 66,0.33763091337724493]
[ 67,0.3393728697050164]
[ 68,0.3393728697061129]
[ 69,0.3393728697061129]
[ 70,0.3393901392363889]
[ 71,0.33989378388461416]
[ 72,0.33989378388461416]
[ 73,0.33989378388461416]
[ 74,0.33989378388461416]
[ 75,0.34049921925237014]
[ 76,0.3426573231839231]
[ 77,0.3426573231839231]
[ 78,0.3426573231839231]
[ 79,0.3426573231839231]
[ 80,0.3436147512529724]
[ 81,0.3436147512529724]
[ 82,0.34369872296706255]
[ 83,0.34369872296706255]
[ 84,0.34369872296706255]
[ 85,0.3437660738195111]
[ 86,0.3437677756199971]
[ 87,0.3437677756199971]
[ 88,0.3437857509685328]
[ 89,0.3443832121521129]
[ 90,0.3444151726064371]
[ 91,0.3452388628153077]
[ 92,0.3452832295233102]
[ 93,0.34528322958778734]
[ 94,0.34554651686353477]
[ 95,0.3455908835714422]
[ 96,0.3455908835714422]
[ 97,0.3455928392718895]
[ 98,0.3455928392718895]
[ 99,0.3455928392718895]
[ 100,0.3455928392718895]
[ 101,0.3455928392718895]
[ 102,0.3455928392718895]
[ 103,0.3455928392718895]
[ 104,0.34658230791776456]
[ 105,0.34658230791776456]
[ 106,0.34719636681349353]
[ 107,0.34719636681349353]
[ 108,0.34753593836533464]
[ 109,0.34776475742733437]
[ 110,0.34776475742733437]
[ 111,0.34776475742733437]
[ 112,0.34903535569995037]
[ 113,0.34903535569995037]
[ 114,0.34903535569995037]
[ 115,0.34903535569995037]
[ 116,0.34903535569995037]
[ 117,0.34903535569995037]
[ 118,0.34903535569995037]
[ 119,0.34903535569995037]
[ 120,0.34903535569995037]
[ 121,0.34903535569995037]
[ 122,0.34903535569995037]
[ 123,0.34903535569995037]
[ 124,0.34903535569995037]
[ 125,0.34903535569995037]
[ 126,0.34903535569995037]
[ 127,0.34903535569995037]
[ 128,0.34903535569995037]
[ 129,0.34903535569995037]
[ 130,0.34903535569995037]
[ 131,0.34903535569995037]
[ 132,0.34903535569995037]
[ 133,0.34903535569995037]
[ 134,0.34903535569995037]
[ 135,0.34903535569995037]
[ 136,0.34929764253091783]
[ 137,0.3492977413266969]
[ 138,0.3492977413266969]
[ 139,0.3495482857181105]
[ 140,0.34962506478200955]
[ 141,0.34962506478200955]
[ 142,0.34972528680744003]
[ 143,0.3498191503248281]
[ 144,0.3498191503248281]
[ 145,0.3518901165033718]
[ 146,0.3518901165688887]
[ 147,0.3518901165688887]
[ 148,0.3518901165688887]
[ 149,0.35249103754278427]
[ 150,0.35249103754278427]
[ 151,0.35249103754278427]
[ 152,0.35249103754278427]
[ 153,0.35249103754278427]
[ 154,0.35249103754278427]
[ 155,0.35249103754278427]
[ 156,0.35249103754278427]
[ 157,0.3637504901689563]
[ 158,0.3637504901689563]
[ 159,0.3637504901689563]
[ 160,0.3637504901689563]
[ 161,0.3637504901689563]
[ 162,0.36488043810183557]
[ 163,0.3653695444508127]
[ 164,0.3657042306530067]
[ 165,0.3657042306530067]
[ 166,0.3660672104278386]
[ 167,0.3661018688096739]
[ 168,0.366172868749402]
[ 169,0.36821812395394066]
[ 170,0.36821812395394066]
[ 171,0.36821812395394066]
[ 172,0.36821812395394066]
[ 173,0.36831576752871104]
[ 174,0.3689311978080834]
[ 175,0.3689311978080834]
[ 176,0.36893837461102363]
[ 177,0.3697530394837508]
[ 178,0.3718345080197006]
[ 179,0.3718345080197006]
[ 180,0.3721313655616486]
[ 181,0.37213220115664986]
[ 182,0.3722521256263962]
[ 183,0.3722521256263962]
[ 184,0.37226620320285675]
[ 185,0.37226620320285675]
[ 186,0.3723147199992458]
[ 187,0.37260509649372203]
[ 188,0.37260509649372203]
[ 189,0.37260509649372203]
[ 190,0.37260509649372203]
[ 191,0.3726056618362983]
[ 192,0.3726062410634485]
[ 193,0.3726062410634485]
[ 194,0.3726062410634485]
[ 195,0.3726068064060248]
[ 196,0.3726068064060248]
[ 197,0.3726068064060248]
[ 198,0.3726068064060248]
[ 199,0.3726068064060248]
[ 200,0.3726068064060248]
[ 201,0.3726068064060248]
[ 202,0.3726068064060248]
[ 203,0.3726068064060248]
[ 204,0.3726068064060248]
[ 205,0.3726068064060248]
[ 206,0.3726068064060248]
[ 207,0.3726068064060248]
[ 208,0.3726068064060248]
[ 209,0.3726068064060248]
[ 210,0.3726783414988564]
[ 211,0.3726803994311496]
[ 212,0.3726803994311496]
[ 213,0.3726803994311496]
[ 214,0.3727333205209085]
[ 215,0.3727333205209085]
[ 216,0.3727333205209085]
[ 217,0.3727333205209085]
[ 218,0.3727333205209085]
[ 219,0.3727333205209085]
[ 220,0.3727333205209085]
[ 221,0.3727333205209085]
[ 222,0.3731021092815177]
[ 223,0.3731021092815177]
[ 224,0.3731021092815177]
[ 225,0.3731401187419359]
[ 226,0.3736835390567336]
[ 227,0.3736835390567336]
[ 228,0.3739047842117724]
[ 229,0.3739427933928612]
[ 230,0.3739458013810682]
[ 231,0.3739458013810682]
[ 232,0.3739458013810682]
[ 233,0.3739458013810682]
[ 234,0.3739458013810682]
[ 235,0.3739458013810682]
[ 236,0.3739458013810682]
[ 237,0.3739458013810682]
[ 238,0.3739458013810682]
[ 239,0.3739458013810682]
[ 240,0.3739458013810682]
[ 241,0.3743767535859685]
[ 242,0.3743767535859685]
[ 243,0.37489126115446286]
