./data/maxFitness/20191025/VQD1-2.txt
[ 1,0.6108563614773785]
[ 2,0.6130180369694943]
[ 3,0.6385359465206925]
[ 4,0.6438803726710419]
[ 5,0.6596629564218287]
[ 6,0.661986088753226]
[ 7,0.671559957714356]
[ 8,0.671559957714356]
[ 9,0.6740860324611095]
[ 10,0.6847747335435509]
[ 11,0.6847747335435509]
[ 12,0.6848263939363347]
[ 13,0.6848908939243235]
[ 14,0.6851221084961254]
[ 15,0.6855795036122271]
[ 16,0.6856009866213127]
[ 17,0.6856220148341549]
[ 18,0.6858092252627689]
[ 19,0.6861061920361927]
[ 20,0.6997434299286098]
[ 21,0.6997661549217797]
[ 22,0.6997661549217797]
[ 23,0.6997661549217797]
[ 24,0.7073929731853145]
[ 25,0.7073929731853145]
[ 26,0.7073929731853145]
[ 27,0.7073929731853145]
[ 28,0.7073929731853145]
[ 29,0.7073929840405568]
[ 30,0.707393365633403]
[ 31,0.707393365633403]
[ 32,0.707393365633403]
[ 33,0.707393365633403]
[ 34,0.7112121856299031]
[ 35,0.7112121856299031]
[ 36,0.7112121856299031]
[ 37,0.7112121856299031]
[ 38,0.7112121856299031]
[ 39,0.7112121856299031]
[ 40,0.7112121856299031]
[ 41,0.7112121856299031]
[ 42,0.7112121856299031]
[ 43,0.7112121856299031]
[ 44,0.7112121856299031]
[ 45,0.7112121856299031]
[ 46,0.7112121856299031]
[ 47,0.7143099972130152]
[ 48,0.7143099972130152]
[ 49,0.7143099972130152]
[ 50,0.7143099972130152]
[ 51,0.7143099972130152]
[ 52,0.7143099972130152]
[ 53,0.7143099972130152]
[ 54,0.7143099972130152]
[ 55,0.7143099972130152]
[ 56,0.7364717761647203]
[ 57,0.7364717761647203]
[ 58,0.7364717761647203]
[ 59,0.7364717761647203]
[ 60,0.7364717761647203]
[ 61,0.7364717761647203]
[ 62,0.7364717761647203]
[ 63,0.7364717761647203]
[ 64,0.7364717761647203]
[ 65,0.7364717761647203]
[ 66,0.7485502740614148]
[ 67,0.7485502740614148]
[ 68,0.7485502740614148]
[ 69,0.7485502740614148]
[ 70,0.7485502740614148]
[ 71,0.7485502740614148]
[ 72,0.7485502740614148]
[ 73,0.7485502740614148]
[ 74,0.7485502740614148]
[ 75,0.7485502740614148]
[ 76,0.7485502740614148]
[ 77,0.7485502740614148]
[ 78,0.7485502740614148]
[ 79,0.7485502740614148]
[ 80,0.7485502740614148]
[ 81,0.7485502740614148]
[ 82,0.7485502740614148]
[ 83,0.7485502740614148]
[ 84,0.7485502740614148]
[ 85,0.7485502740614148]
[ 86,0.7485502740614148]
[ 87,0.7485502740614148]
[ 88,0.7485502740614148]
[ 89,0.7485502740614148]
[ 90,0.7485502740614148]
[ 91,0.7485502740614148]
[ 92,0.7485502740614148]
[ 93,0.7485502740614148]
[ 94,0.7485502740614148]
[ 95,0.7485502740614148]
[ 96,0.7485502740614148]
[ 97,0.7485502740614148]
[ 98,0.7485502740614148]
[ 99,0.7485502740614148]
[ 100,0.7485502740614148]
[ 101,0.7485502740614148]
[ 102,0.7485502740614148]
[ 103,0.7485502740614148]
[ 104,0.7485502740614148]
[ 105,0.7485502740614148]
[ 106,0.7485502740614148]
[ 107,0.7485502740614148]
[ 108,0.7485502740614148]
[ 109,0.7485502740614148]
[ 110,0.7485502740614148]
[ 111,0.7485502740614148]
[ 112,0.7485502740614148]
[ 113,0.7485502740614148]
[ 114,0.7485502740614148]
[ 115,0.7485502740614148]
[ 116,0.7485502740614148]
[ 117,0.7485502740614148]
[ 118,0.7485502740614148]
[ 119,0.7485502740614148]
[ 120,0.7485502740614148]
[ 121,0.7485502740614148]
[ 122,0.7485502740614148]
[ 123,0.7485502740614148]
[ 124,0.7485502740614148]
[ 125,0.7485502740614148]
[ 126,0.7485502740614148]
[ 127,0.7485502740614148]
[ 128,0.7485502740614148]
[ 129,0.7485502740614148]
[ 130,0.7485502740614148]
[ 131,0.7485502740614148]
[ 132,0.7485502740614148]
[ 133,0.7485502740614148]
[ 134,0.7485502740614148]
[ 135,0.7485502740614148]
[ 136,0.7485502740614148]
[ 137,0.7485502740614148]
[ 138,0.7485502740614148]
[ 139,0.7485502740614148]
[ 140,0.7485502740614148]
[ 141,0.7486504639115621]
[ 142,0.7486504639115621]
[ 143,0.7486504639115621]
[ 144,0.7486504639115621]
[ 145,0.7486504639115621]
[ 146,0.7486504639115621]
[ 147,0.7486504639115621]
[ 148,0.7486504639115621]
[ 149,0.7486504639115621]
[ 150,0.7486504639115621]
[ 151,0.7486504639115621]
[ 152,0.7486504639115621]
[ 153,0.7486504639115621]
[ 154,0.7486504639115621]
[ 155,0.7486504639115621]
[ 156,0.7486504639115621]
[ 157,0.7486504639115621]
[ 158,0.7486504639115621]
[ 159,0.7486504639115621]
[ 160,0.7486504639115621]
[ 161,0.7486504639115621]
[ 162,0.7486504639115621]
[ 163,0.7486504639115621]
[ 164,0.7486504639115621]
[ 165,0.7486504639115621]
[ 166,0.7486504639115621]
[ 167,0.7486504639115621]
[ 168,0.7486504639115621]
[ 169,0.7486504639115621]
[ 170,0.7486504639115621]
[ 171,0.7486504639115621]
[ 172,0.7486504639115621]
[ 173,0.7486504639115621]
[ 174,0.7486504639115621]
[ 175,0.7486504639115621]
[ 176,0.7486504639115621]
[ 177,0.7486504639115621]
[ 178,0.7486504639115621]
[ 179,0.7486504639115621]
[ 180,0.7486504639115621]
[ 181,0.7486504639115621]
[ 182,0.7486504639115621]
[ 183,0.7486504639115621]
[ 184,0.7486504639115621]
[ 185,0.7486504639115621]
[ 186,0.7486504639115621]
[ 187,0.7486504639115621]
[ 188,0.7486504639115621]
[ 189,0.7486504639115621]
[ 190,0.7486504639115621]
[ 191,0.7486504639115621]
[ 192,0.7486504639115621]
[ 193,0.7486504639115621]
[ 194,0.7486504639115621]
[ 195,0.7486504639115621]
[ 196,0.7486504639115621]
[ 197,0.7486504639115621]
[ 198,0.7486504639115621]
[ 199,0.7486504639115621]
[ 200,0.7486504639115621]
[ 201,0.7486504639115621]
[ 202,0.7486504639115621]
[ 203,0.7486504639115621]
[ 204,0.7486504639115621]
[ 205,0.7486504639115621]
[ 206,0.7486504639115621]
[ 207,0.7486504639115621]
[ 208,0.7486504639115621]
[ 209,0.7486504639115621]
[ 210,0.7486504639115621]
[ 211,0.7486504639115621]
[ 212,0.7486504639115621]
[ 213,0.7486504639115621]
[ 214,0.7486504639115621]
[ 215,0.7486504639115621]
[ 216,0.7486504639115621]
[ 217,0.7486504639115621]
[ 218,0.7486504639115621]
[ 219,0.7565945468010792]
[ 220,0.7565945468010792]
[ 221,0.7565945468010792]
[ 222,0.7565945468010792]
[ 223,0.7565945468010792]
[ 224,0.7565945468010792]
[ 225,0.7565945468010792]
[ 226,0.7565945468010792]
[ 227,0.7565945468010792]
[ 228,0.7565945468010792]
[ 229,0.7565945468010792]
[ 230,0.7566026222080119]
[ 231,0.7566026222080119]
[ 232,0.7566026222080119]
[ 233,0.7566026222080119]
[ 234,0.7566026222080119]
[ 235,0.7566026222080119]
[ 236,0.7566026222080119]
[ 237,0.7566026222080119]
[ 238,0.7566026222080119]
[ 239,0.7566026222080119]
[ 240,0.7566026222080119]
[ 241,0.7566026222080119]
[ 242,0.7566026222080119]
[ 243,0.7566026222080119]
[ 244,0.7566026222080119]
[ 245,0.7566026222080119]
[ 246,0.7566026222080119]
[ 247,0.7566026222080119]
[ 248,0.7566026222080119]
[ 249,0.7566026222080119]
[ 250,0.7566026222080119]
[ 251,0.7566026222080119]
[ 252,0.7566026222080119]
[ 253,0.7566026222080119]
[ 254,0.7566026222080119]
[ 255,0.7566026222080119]
[ 256,0.7566026222080119]
[ 257,0.7566026222080119]
[ 258,0.7566026222080119]
[ 259,0.7566026222080119]
[ 260,0.7582967300337842]
[ 261,0.7582967300337842]
[ 262,0.7582967300337842]
[ 263,0.7582967300337842]
[ 264,0.7582967300337842]
[ 265,0.7582967300337842]
[ 266,0.7582967300337842]
[ 267,0.7582967300337842]
[ 268,0.7582967300337842]
[ 269,0.7582967300337842]
[ 270,0.7582967300337842]
[ 271,0.7582967300337842]
[ 272,0.7582967300337842]
[ 273,0.7582967300337842]
[ 274,0.7582967300337842]
[ 275,0.7582967300337842]
[ 276,0.7582967300337842]
[ 277,0.7582967300337842]
[ 278,0.7582967300337842]
[ 279,0.7582967300337842]
[ 280,0.7582967300337842]
[ 281,0.7582967300337842]
[ 282,0.7582967300337842]
[ 283,0.7582967300337842]
[ 284,0.7582967300337842]
[ 285,0.7582967300337842]
[ 286,0.7582967300337842]
[ 287,0.7582967300337842]
[ 288,0.7582967300337842]
[ 289,0.7582967300337842]
[ 290,0.7582967300337842]
[ 291,0.7582967300337842]
[ 292,0.762501493588523]
[ 293,0.762501493588523]
[ 294,0.762501493588523]
[ 295,0.762501493588523]
[ 296,0.762501493588523]
[ 297,0.762501493588523]
[ 298,0.762501493588523]
[ 299,0.7627251168620443]
[ 300,0.7627251168620443]
[ 301,0.7627251168620443]
[ 302,0.7627251168620443]
[ 303,0.7627251168620443]
[ 304,0.7627251168620443]
[ 305,0.7627251168620443]
[ 306,0.7627251168620443]
[ 307,0.7627251168620443]
[ 308,0.7627251168620443]
[ 309,0.7627251168620443]
[ 310,0.7627251168620443]
[ 311,0.7627251168620443]
[ 312,0.7627251168620443]
[ 313,0.7627251168620443]
[ 314,0.7627251168620443]
[ 315,0.7627251168620443]
[ 316,0.7627251168620443]
[ 317,0.7627251168620443]
[ 318,0.7627251168620443]
[ 319,0.7627251168620443]
[ 320,0.7627251168620443]
[ 321,0.7627251168620443]
[ 322,0.7627251168620443]
[ 323,0.7627251168620443]
[ 324,0.7627251168620443]
[ 325,0.7627251168620443]
[ 326,0.7627251168620443]
[ 327,0.7627251168620443]
[ 328,0.7627251168620443]
[ 329,0.7627251168620443]
[ 330,0.7627251168620443]
[ 331,0.7627251168620443]
[ 332,0.7627251168620443]
[ 333,0.7627251168620443]
[ 334,0.7627251168620443]
[ 335,0.7627251168620443]
[ 336,0.7627251168620443]
[ 337,0.7627251168620443]
[ 338,0.7627251168620443]
[ 339,0.7627251168620443]
[ 340,0.7627251168620443]
[ 341,0.7627251168620443]
[ 342,0.7627251168620443]
[ 343,0.7627251168620443]
[ 344,0.7627251168620443]
[ 345,0.7627251168620443]
[ 346,0.7627251168620443]
[ 347,0.7627251168620443]
[ 348,0.7627251168620443]
[ 349,0.7627251168620443]
[ 350,0.7627251168620443]
[ 351,0.7627251168620443]
[ 352,0.7627251168620443]
[ 353,0.7627251168620443]
[ 354,0.7627251168620443]
[ 355,0.7627251168620443]
[ 356,0.7627251168620443]
[ 357,0.7627251168620443]
[ 358,0.7627251168620443]
[ 359,0.7627251168620443]
[ 360,0.7627251168620443]
[ 361,0.7627251168620443]
[ 362,0.7627251168620443]
[ 363,0.7627251168620443]
[ 364,0.7627251168620443]
[ 365,0.7627251168620443]
[ 366,0.7627251168620443]
[ 367,0.7627251168620443]
[ 368,0.7627251168620443]
[ 369,0.7627251168620443]
[ 370,0.7627251168620443]
[ 371,0.7627251168620443]
[ 372,0.7627251168620443]
[ 373,0.7627251168620443]
[ 374,0.7627251168620443]
[ 375,0.7627251168620443]
[ 376,0.7627251168620443]
[ 377,0.7627251168620443]
[ 378,0.7627251168620443]
[ 379,0.7627251168620443]
[ 380,0.7627251168620443]
[ 381,0.7627251168620443]
[ 382,0.7627251168620443]
[ 383,0.7627251168620443]
[ 384,0.7627251168620443]
[ 385,0.7627251168620443]
[ 386,0.7627251168620443]
[ 387,0.7627251168620443]
[ 388,0.7627251168620443]
[ 389,0.7627251168620443]
[ 390,0.7627251168620443]
[ 391,0.7627251168620443]
[ 392,0.7627251168620443]
[ 393,0.7627251168620443]
[ 394,0.7627251168620443]
[ 395,0.7627251168620443]
[ 396,0.7627251168620443]
[ 397,0.7627251168620443]
[ 398,0.7627251168620443]
[ 399,0.7627251168620443]
