./data/maxFitness/20191025/VQD1-1.txt
[ 1,0.2573296802625569]
[ 2,0.27175134727696554]
[ 3,0.27175134727696554]
[ 4,0.2717987657198112]
[ 5,0.27221414084923967]
[ 6,0.2849535650240923]
[ 7,0.2855188785598955]
[ 8,0.28593606941895366]
[ 9,0.29425481313972285]
[ 10,0.2961909228264194]
[ 11,0.29915455182719103]
[ 12,0.3024495274687827]
[ 13,0.3024495274687827]
[ 14,0.3061667723119001]
[ 15,0.31644351431018924]
[ 16,0.31644351431018924]
[ 17,0.3187573140973035]
[ 18,0.3187573140973035]
[ 19,0.3187573140973035]
[ 20,0.326632828894129]
[ 21,0.326632828894129]
[ 22,0.326632828894129]
[ 23,0.326632828894129]
[ 24,0.3318601407261928]
[ 25,0.3318601407261928]
[ 26,0.3318601407261928]
[ 27,0.333279674084907]
[ 28,0.333279674084907]
[ 29,0.33751661891169765]
[ 30,0.33751661891169765]
[ 31,0.33753148972409097]
[ 32,0.33753148972409097]
[ 33,0.3375686796152136]
[ 34,0.3375686796152136]
[ 35,0.3375686796152136]
[ 36,0.33759819161479054]
[ 37,0.3376841025373695]
[ 38,0.3376841025373695]
[ 39,0.3376950195259411]
[ 40,0.3376950195259411]
[ 41,0.3376950195259411]
[ 42,0.3377592349023542]
[ 43,0.34282759904881355]
[ 44,0.34282890280293016]
[ 45,0.34494590977530193]
[ 46,0.34494590977530193]
[ 47,0.34500617723424626]
[ 48,0.34500617723424626]
[ 49,0.3480675365532876]
[ 50,0.34806782425782246]
[ 51,0.3481316358511169]
[ 52,0.34979818900997645]
[ 53,0.3568450776613671]
[ 54,0.3568450776613671]
[ 55,0.35900098780476375]
[ 56,0.35900098780476375]
[ 57,0.3614131392183242]
[ 58,0.3614131392183242]
[ 59,0.3614131392183242]
[ 60,0.36144093134363453]
[ 61,0.36144093134363453]
[ 62,0.36144093134363453]
[ 63,0.36144093134363453]
[ 64,0.36144093134363453]
[ 65,0.36144093134363453]
[ 66,0.36144093134363453]
[ 67,0.36144093134363453]
[ 68,0.36144093134363453]
[ 69,0.36144093134363453]
[ 70,0.3639797772386844]
[ 71,0.3639797772386844]
[ 72,0.3639797772386844]
[ 73,0.36480914749704924]
[ 74,0.36480914749704924]
[ 75,0.36890610114082195]
[ 76,0.36890610114082195]
[ 77,0.3735263197361682]
[ 78,0.3735263197361682]
[ 79,0.3735263197361682]
[ 80,0.3735263197361682]
[ 81,0.3735263197361682]
[ 82,0.3735263197361682]
[ 83,0.3735263197361682]
[ 84,0.3735263197361682]
[ 85,0.3735263197361682]
[ 86,0.3735263197361682]
[ 87,0.3735263197361682]
