./data/maxFitness/20191026/VQD1-1.txt
[ 1,0.33951658530609463]
[ 2,0.34610129400044937]
[ 3,0.34610129400044937]
[ 4,0.3621129725377714]
[ 5,0.3621129725377714]
[ 6,0.36245737907771186]
[ 7,0.38425385314891]
[ 8,0.38425385314891]
[ 9,0.38425385314891]
[ 10,0.38425385314891]
[ 11,0.3961122107767331]
[ 12,0.3961122107767331]
[ 13,0.39642863372229437]
[ 14,0.41039822584771385]
[ 15,0.41039822584771385]
[ 16,0.41067719644057765]
[ 17,0.42324909636939834]
[ 18,0.42334172504404016]
[ 19,0.42334172504404016]
[ 20,0.4355553306459671]
[ 21,0.4355553306459671]
[ 22,0.43566007508490595]
[ 23,0.43566007508490595]
[ 24,0.44119621434816236]
[ 25,0.4412013709908018]
[ 26,0.4412048165213074]
[ 27,0.4412048165213074]
[ 28,0.44120978484291046]
[ 29,0.44577606171416184]
[ 30,0.44577606171416184]
[ 31,0.4457884728765611]
[ 32,0.4460433528432782]
[ 33,0.4460433528432782]
[ 34,0.4460433528432782]
[ 35,0.44604495671845257]
[ 36,0.4460450391349864]
[ 37,0.44606906847747274]
[ 38,0.4563080474884662]
[ 39,0.4563080474884662]
[ 40,0.4563080474884662]
[ 41,0.45631835625288153]
[ 42,0.45631835625288153]
[ 43,0.45631835625288153]
[ 44,0.45631835625288153]
[ 45,0.45631835625288153]
[ 46,0.45631835625288153]
[ 47,0.45631835625288153]
[ 48,0.45631835625288153]
[ 49,0.45631835625288153]
[ 50,0.45631835625288153]
[ 51,0.45631835625288153]
[ 52,0.45631835625288153]
[ 53,0.45631835625288153]
[ 54,0.45631835625288153]
[ 55,0.45631835625288153]
[ 56,0.45631835625288153]
[ 57,0.45631835625288153]
[ 58,0.45631835625288153]
[ 59,0.4637390874482357]
[ 60,0.4637390874482357]
[ 61,0.4637390874482357]
[ 62,0.4637390874482357]
[ 63,0.4637390874482357]
[ 64,0.4637390874482357]
[ 65,0.4637390874482357]
[ 66,0.4637390874482357]
[ 67,0.4637390874482357]
[ 68,0.4637390874482357]
[ 69,0.4637390874482357]
[ 70,0.4637390874482357]
[ 71,0.4637390874482357]
[ 72,0.4637390874482357]
[ 73,0.4637390874482357]
[ 74,0.4637390874482357]
[ 75,0.4637390874482357]
[ 76,0.4637390874482357]
[ 77,0.4637390874482357]
[ 78,0.4637390874482357]
[ 79,0.4637390874482357]
[ 80,0.4637390874482357]
[ 81,0.4637390874482357]
[ 82,0.4637390874482357]
[ 83,0.4637390874482357]
[ 84,0.4637390874482357]
[ 85,0.4637390874482357]
[ 86,0.4639706297057865]
[ 87,0.4639706297057865]
[ 88,0.4639706297057865]
[ 89,0.4639706297057865]
[ 90,0.4639706297057865]
[ 91,0.4639706297057865]
[ 92,0.4639706297057865]
[ 93,0.4639706297057865]
[ 94,0.4639706297057865]
[ 95,0.4639706297057865]
[ 96,0.4639706297057865]
[ 97,0.4639706297057865]
[ 98,0.4639706297057865]
[ 99,0.4639706297057865]
[ 100,0.4639706297057865]
[ 101,0.4639706297057865]
[ 102,0.4639706297057865]
[ 103,0.4639706297057865]
[ 104,0.4639706297057865]
[ 105,0.4639706297057865]
[ 106,0.4639706297057865]
[ 107,0.4639706297057865]
[ 108,0.4639706297057865]
[ 109,0.4639706297057865]
[ 110,0.4639706297057865]
[ 111,0.4639706297057865]
[ 112,0.4639706297057865]
[ 113,0.4639706297057865]
[ 114,0.4639706297057865]
[ 115,0.4639706297057865]
[ 116,0.4639706297057865]
[ 117,0.4639706297057865]
[ 118,0.4639706297057865]
[ 119,0.4639706297057865]
[ 120,0.4639706297057865]
[ 121,0.4639706297057865]
[ 122,0.4639706297057865]
[ 123,0.4639706297057865]
[ 124,0.4639706297057865]
[ 125,0.4639706297057865]
[ 126,0.4639706297057865]
[ 127,0.4639706297057865]
[ 128,0.4639706297057865]
[ 129,0.4639706297057865]
[ 130,0.4639706297057865]
[ 131,0.4639706297057865]
[ 132,0.4639706297057865]
